Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CDC25B,416.0939106,2040.274523,2.07629713,0.038919919,0.139108037,-4.574137083
VASP,415.8006604,3225.611899,2.295645136,0.022550098,0.096363084,-4.568151897
SP1,415.6210574,2988.515778,3.20537981,0.001529985,0.014266167,-4.537650033
SPTAN1,415.3815111,7383.287974,1.091716369,0.276041025,0.489882806,-4.593928107
UBQLN1,415.3776421,2939.182532,3.071129563,0.002375521,0.019470444,-4.542701456
PSMA4,415.3328018,3388.486832,2.248735542,0.025427552,0.104205733,-4.569478387
CD2,413.3994659,409.586648,6.940374313,3.55E-11,3.00E-09,-4.340584337
LAMA4,412.746507,1253.856136,2.544635639,0.01156011,0.060846657,-4.560695034
LCP2,411.7849482,442.0605641,9.880330673,1.45E-19,3.94E-16,-4.149142861
CASP10,411.0636291,650.0065887,5.068916863,7.94E-07,2.65E-05,-4.45078345
HMGN4,410.8885071,1797.731692,3.829302693,0.000163654,0.002508895,-4.511869837
SQRDL,408.488823,2225.507931,1.555889565,0.121038182,0.292552242,-4.586070682
