sample_id,B2M,C1S,CD74,CFB,CTSS,HLA-A,HLA-B,HLA-C,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-E,IDO1,IFI30,IFITM1,RNF213,SERPING1,SOD2,STAT1,TAP1,label
GSM971981,10.15909873,8.567942121,8.702924197,7.376516858,9.258368559,12.33005144,12.08446038,11.6609464,8.119161006,11.9188899,9.488940806,10.71026947,9.209187653,11.16610008,12.07878841,6.381426911,8.909516466,8.277833711,9.721762716,9.770916281,HotHigh
GSM971982,10.3436192,9.117039038,8.164543609,6.548634151,9.863481454,13.47193989,13.23682964,12.59461537,5.336156247,11.44287845,8.093827963,11.05678678,8.48402914,11.29977884,12.31094006,6.71813543,8.962158558,8.750761395,9.518550591,10.21065346,HotHigh
GSM971983,10.58670244,9.453369888,8.732358504,6.908087318,9.80002982,13.04075658,13.15767819,12.41045697,7.653240121,12.11701069,9.584578721,11.15990601,8.108542341,11.54445283,11.91040018,6.229736222,8.673444602,8.344887699,9.909051777,10.33822188,HotHigh
GSM971984,10.30958076,9.080720602,8.190736373,6.850737018,9.227612627,13.13650637,12.53550656,12.07217451,6.54340731,11.31961883,8.421679968,10.79347741,8.577725051,11.05368322,12.10223282,6.293486982,8.319776882,7.967027518,9.475872538,10.25766519,HotHigh
GSM972015,9.933035101,7.835807394,6.766050406,6.851520254,7.91544505,11.71138922,11.22019022,10.93925135,5.896622381,9.438249557,7.375305496,10.62406121,7.608649187,9.771005542,11.55901819,5.954512513,7.29214152,8.521934437,8.547983628,8.887973985,ColdLow
GSM972016,10.19455897,8.45241658,7.948840794,6.842831181,8.860708606,13.18330194,12.94364223,12.24044749,5.025643128,9.392448429,7.53079568,10.71341385,5.314763697,10.51479709,12.38475961,5.725618566,7.07540132,8.005222516,7.627547191,9.317405641,ColdLow
GSM972220,10.45071562,9.395586155,9.109222988,7.225140324,9.70784897,12.92664816,13.12695244,12.43542686,8.906325707,13.36801332,10.99418908,11.42634454,8.112691903,11.10372031,12.21005977,5.990267311,8.912352348,8.33485236,9.527228558,10.18577924,HotHigh
GSM972221,10.14748792,7.969175399,8.239067347,6.262428573,8.704635766,13.30240266,13.09423718,12.44072975,5.544401713,11.87025799,8.503837272,10.85729298,6.935883116,10.29456451,12.06646267,6.350510081,7.114059415,7.732615308,8.387350096,9.539812467,ColdLow
GSM972222,9.875881022,7.525785332,6.859003262,6.14291556,9.448563398,12.29506153,11.55840812,11.2999284,6.242263507,9.715668145,7.410395999,10.14638685,6.064228469,9.853437742,11.92286199,5.960483984,7.129296461,7.463122602,8.221620703,8.485216934,ColdLow
GSM972223,10.30940625,8.851899792,8.190471863,6.370378139,10.05733089,12.11657772,11.6519432,11.36438078,5.935930239,11.01207634,7.852946981,10.4275401,6.551801265,10.24387148,11.16805246,6.329686471,7.978753342,8.352247485,8.70508731,8.976064935,ColdLow
